loan_amnt,installment,annual_inc,delinq_2yrs,fico_range_low,fico_range_high,inq_last_6mths,open_acc,pub_rec,revol_bal,total_acc,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_amnt,last_fico_range_high,last_fico_range_low,collections_12_mths_ex_med,policy_code,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_inq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,last_pymnt_amnt_log,last_pymnt_amnt_capped,int_rate_clean,term_numeric,debt_to_income,interest_per_loan_amnt,loan_amnt_log,grade_encoded,loan_amnt_std,annual_inc_std,loan_amnt_norm,annual_inc_norm,loan_default
20000.0,617.73,188000.0,0.0,675.0,679.0,2.0,25.0,1.0,49140.0,47.0,9475.61,1627.93,0.0,0.0,0.0,617.73,719.0,715.0,0.0,1.0,0.0,0.0,542360.0,3.0,3.0,0.0,5.0,14.0,90118.0,64.0,3.0,6.0,15770.0,57.0,94000.0,2.0,2.0,3.0,12.0,22598.0,34247.0,48.5,0.0,0.0,159.0,156.0,3.0,1.0,5.0,3.0,2.0,0.0,10.0,16.0,13.0,13.0,19.0,20.0,23.0,17.0,25.0,0.0,0.0,0.0,4.0,100.0,50.0,1.0,0.0,658872.0,139258.0,66500.0,130853.0,6.42766899012817,617.73,0.0702,36,0.1063829787234042,4212.0,9.90353755128617,0,0.4929823330336746,1.237858138205256,0.4910941475826972,0.0170921521565204,False
9600.0,311.67,31000.0,0.0,675.0,679.0,0.0,9.0,0.0,22928.0,14.0,8681.34,1612.85,0.0,0.0,0.0,311.67,664.0,660.0,0.0,1.0,0.0,0.0,22928.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,2.0,5724.0,83.0,27600.0,0.0,0.0,0.0,2.0,2548.0,1035.0,95.7,0.0,0.0,130.0,109.0,13.0,13.0,0.0,13.0,5.0,0.0,6.0,8.0,6.0,7.0,0.0,9.0,14.0,8.0,9.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,27600.0,22928.0,23900.0,0.0,5.745148321262097,311.67,0.1042,36,0.3096774193548387,3000.9600000000005,9.169622538697624,1,-0.605437969949022,-0.562107097116537,0.2264631043256997,0.0028183867917666,False
16000.0,571.17,90000.0,0.0,720.0,724.0,2.0,13.0,0.0,8691.0,32.0,16000.0,4127.4,0.0,0.0,0.0,6919.51,659.0,655.0,0.0,1.0,0.0,0.0,303627.0,2.0,5.0,2.0,4.0,3.0,83506.0,66.0,1.0,2.0,2465.0,65.0,13900.0,3.0,8.0,8.0,7.0,23356.0,3093.0,62.3,0.0,0.0,156.0,172.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,5.0,3.0,4.0,20.0,6.0,10.0,5.0,13.0,0.0,0.0,0.0,3.0,100.0,66.7,0.0,0.0,344874.0,92197.0,8200.0,114959.0,8.84224474531801,6919.51,0.1709,36,0.1777777777777777,8203.2,9.680406499268877,3,0.0705129857326374,0.1143129594693597,0.3893129770992366,0.0081824132664193,False
15000.0,487.33,39600.0,0.0,740.0,744.0,0.0,13.0,0.0,16195.0,30.0,6914.92,1839.57,0.0,0.0,0.0,487.33,819.0,815.0,0.0,1.0,0.0,0.0,43007.0,2.0,1.0,0.0,1.0,19.0,26812.0,77.0,3.0,4.0,8291.0,54.0,44000.0,0.0,0.0,0.0,5.0,3584.0,15642.0,48.2,0.0,0.0,83.0,253.0,3.0,3.0,1.0,3.0,5.0,0.0,4.0,6.0,8.0,11.0,3.0,12.0,26.0,6.0,13.0,0.0,0.0,0.0,3.0,100.0,28.6,0.0,0.0,79000.0,43007.0,30200.0,35000.0,6.190991406821195,487.33,0.1047,36,0.3787878787878788,4711.5,9.61587214452889,1,-0.0351043510926218,-0.4635102753091012,0.3638676844783715,0.0036002618372245,False
30000.0,1040.7,106000.0,0.0,690.0,694.0,1.0,13.0,0.0,25866.0,29.0,30000.0,3186.46,0.0,0.0,0.0,24823.23,729.0,725.0,0.0,1.0,0.0,0.0,348142.0,4.0,2.0,1.0,3.0,5.0,26536.0,72.0,4.0,5.0,9576.0,69.0,38900.0,2.0,0.0,4.0,9.0,26780.0,10005.0,72.0,0.0,0.0,129.0,240.0,1.0,1.0,4.0,1.0,1.0,1.0,5.0,6.0,6.0,11.0,7.0,9.0,17.0,6.0,13.0,0.0,0.0,0.0,5.0,93.1,50.0,0.0,0.0,378423.0,55246.0,35700.0,37007.0,10.119575471312494,17440.045999999995,0.1505,36,0.2830188679245283,13545.0,10.308985993422082,2,1.5491557012862676,0.2977489070180775,0.7455470737913485,0.0096370645137828,False
24000.0,750.97,120000.0,0.0,705.0,709.0,1.0,14.0,0.0,37695.0,30.0,24000.0,3034.76,0.0,0.0,0.0,750.81,789.0,785.0,0.0,1.0,0.0,0.0,174617.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,74800.0,0.0,0.0,0.0,4.0,12473.0,21756.0,59.5,0.0,0.0,101.0,157.0,4.0,4.0,7.0,4.0,4.0,0.0,6.0,10.0,7.0,12.0,7.0,11.0,16.0,10.0,14.0,0.0,0.0,0.0,2.0,100.0,42.9,0.0,0.0,235497.0,60369.0,53700.0,44297.0,6.622483632451564,750.81,0.079,36,0.2,5688.0,10.085850775128716,0,0.9154516803347116,0.4582553611232055,0.5928753180661577,0.0109098843552258,False
11000.0,374.09,55800.0,2.0,680.0,684.0,0.0,5.0,0.0,9663.0,12.0,11000.0,2238.97,0.0,0.0,0.0,4260.81,689.0,685.0,0.0,1.0,0.0,0.0,22830.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,22100.0,0.0,0.0,0.0,1.0,4566.0,12437.0,43.7,0.0,0.0,150.0,253.0,19.0,19.0,0.0,19.0,19.0,2.0,3.0,3.0,4.0,7.0,3.0,4.0,9.0,3.0,5.0,0.0,0.0,2.0,0.0,83.3,50.0,0.0,0.0,67244.0,22830.0,22100.0,45144.0,8.357449231655458,4260.81,0.1365,36,0.1971326164874552,4504.5,9.305741456739437,2,-0.457573698393659,-0.2777813784160244,0.2620865139949109,0.00507309622518,False
21000.0,494.32,150000.0,0.0,665.0,669.0,0.0,5.0,0.0,11185.0,5.0,6287.88,5039.13,0.0,0.0,0.0,0.0,734.0,730.0,0.0,1.0,0.0,0.0,32360.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,4422.0,95.0,11800.0,0.0,0.0,0.0,0.0,6472.0,2950.0,95.0,0.0,0.0,130.0,44.0,30.0,30.0,0.0,30.0,14.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,5.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,40267.0,32360.0,11800.0,0.0,0.0,0.0,0.1452,60,0.14,15246.0,9.952325334619427,2,0.5985996698589339,0.8021977627770513,0.5165394402035624,0.0136373554440322,False
15000.0,522.26,60000.0,0.0,685.0,689.0,1.0,22.0,1.0,10228.0,45.0,3134.54,1618.5,0.0,2665.03,479.7054,522.26,534.0,530.0,0.0,1.0,0.0,0.0,57773.0,2.0,12.0,1.0,4.0,4.0,47545.0,82.0,2.0,9.0,3202.0,73.0,21700.0,3.0,1.0,3.0,13.0,2626.0,5748.0,43.1,0.0,0.0,154.0,259.0,3.0,3.0,4.0,3.0,3.0,1.0,2.0,7.0,3.0,3.0,21.0,10.0,20.0,7.0,22.0,0.0,0.0,0.0,3.0,88.9,0.0,0.0,1.0,79690.0,57773.0,10100.0,57990.0,6.260078472466949,522.26,0.1531,36,0.25,6889.5,9.61587214452889,2,-0.0351043510926218,-0.229629442184486,0.3638676844783715,0.0054549421776129,True
18000.0,428.7,104000.0,0.0,695.0,699.0,1.0,16.0,0.0,54965.0,36.0,7045.74,5311.99,0.0,0.0,0.0,428.7,794.0,790.0,0.0,1.0,0.0,0.0,324182.0,2.0,4.0,1.0,2.0,3.0,58183.0,70.0,2.0,2.0,9101.0,77.0,65700.0,0.0,7.0,1.0,4.0,20261.0,6633.0,89.0,0.0,0.0,174.0,297.0,5.0,3.0,5.0,5.0,3.0,0.0,8.0,10.0,9.0,17.0,10.0,11.0,21.0,10.0,16.0,0.0,0.0,0.0,3.0,97.1,77.8,0.0,0.0,370281.0,113148.0,43300.0,83061.0,6.063087290780949,428.7,0.1505,60,0.173076923076923,13545.0,9.798182590890704,2,0.281747659383156,0.2748194135744878,0.4402035623409669,0.0094552331078623,False
